in:dy_2,in:dy_1,out:Displacement,out:Mass,img
-2,-1,175.493975,0.075113,dy_2-2_dy_1-1.png
-1.333333,-1,161.714562,0.124794,dy_2-1.333333_dy_1-1.png
-0.666667,-1,155.283759,0.302011,dy_2-0.666667_dy_1-1.png
0,-1,157.466316,0.333105,dy_20_dy_1-1.png
0.666667,-1,167.814559,0.117386,dy_20.666667_dy_1-1.png
1.333333,-1,184.468052,0.066906,dy_21.333333_dy_1-1.png
2,-1,205.295725,0.054033,dy_22_dy_1-1.png
-2,-0.666667,163.053957,0.064425,dy_2-2_dy_1-0.666667.png
-1.333333,-0.666667,148.502083,0.118948,dy_2-1.333333_dy_1-0.666667.png
-0.666667,-0.666667,142.07128,0.278936,dy_2-0.666667_dy_1-0.666667.png
0,-0.666667,145.026298,0.25302,dy_20_dy_1-0.666667.png
0.666667,-0.666667,156.376069,0.106365,dy_20.666667_dy_1-0.666667.png
1.333333,-0.666667,173.91425,0.064851,dy_21.333333_dy_1-0.666667.png
2,-0.666667,195.439703,0.053637,dy_22_dy_1-0.666667.png
-2,-0.333333,152.988038,0.053274,dy_2-2_dy_1-0.333333.png
-1.333333,-0.333333,137.384641,0.107756,dy_2-1.333333_dy_1-0.333333.png
-0.666667,-0.333333,130.953837,0.244313,dy_2-0.666667_dy_1-0.333333.png
0,-0.333333,134.960379,0.196644,dy_20_dy_1-0.333333.png
0.666667,-0.333333,147.492578,0.100029,dy_20.666667_dy_1-0.333333.png
1.333333,-0.333333,165.958343,0.064925,dy_21.333333_dy_1-0.333333.png
2,-0.333333,188.160539,0.054754,dy_22_dy_1-0.333333.png
-2,0,144.861867,0.048521,dy_2-2_dy_10.png
-1.333333,0,127.782556,0.088327,dy_2-1.333333_dy_10.png
-0.666667,0,121.351752,0.196911,dy_2-0.666667_dy_10.png
0,0,126.834207,0.163442,dy_20_dy_10.png
0.666667,0,140.70971,0.09945,dy_20.666667_dy_10.png
1.333333,0,160.087182,0.067254,dy_21.333333_dy_10.png
2,0,182.902031,0.057226,dy_22_dy_10.png
-2,0.333333,138.480512,0.052488,dy_2-2_dy_10.333333.png
-1.333333,0.333333,119.303991,0.069097,dy_2-1.333333_dy_10.333333.png
-0.666667,0.333333,112.873188,0.146955,dy_2-0.666667_dy_10.333333.png
0,0.333333,120.452853,0.153554,dy_20_dy_10.333333.png
0.666667,0.333333,135.716018,0.105447,dy_20.666667_dy_10.333333.png
1.333333,0.333333,155.892302,0.071719,dy_21.333333_dy_10.333333.png
2,0.333333,179.203125,0.06077,dy_22_dy_10.333333.png
-2,0.666667,134.038863,0.05984,dy_2-2_dy_10.666667.png
-1.333333,0.666667,112.116196,0.069506,dy_2-1.333333_dy_10.666667.png
-0.666667,0.666667,105.685393,0.119361,dy_2-0.666667_dy_10.666667.png
0,0.666667,116.011204,0.167613,dy_20_dy_10.666667.png
0.666667,0.666667,132.414143,0.118063,dy_20.666667_dy_10.666667.png
1.333333,0.666667,153.149717,0.077833,dy_21.333333_dy_10.666667.png
2,0.666667,176.78611,0.064971,dy_22_dy_10.666667.png
-2,1,121.090701,0.067895,dy_2-2_dy_11.png
-1.333333,1,104.594323,0.08067,dy_2-1.333333_dy_11.png
-0.666667,1,98.16352,0.129558,dy_2-0.666667_dy_11.png
0,1,103.063042,0.2238,dy_20_dy_11.png
0.666667,1,112.671067,0.146784,dy_20.666667_dy_11.png
1.333333,1,126.355633,0.089695,dy_21.333333_dy_11.png
2,1,142.852011,0.073028,dy_22_dy_11.png
